name,position,merchant
JOSEPH JEREMY DE GUZMAN LARA,MAYOR (2022),JLL PULSAR CONSTRUCTION CORPORATION
Gian Nicolette Guillen Chua,COUNCILOR (2025),"SKYLINE CONSTRUCTION, EQUIPMENT AND DEVELOPMENT CORPORATION"
Glenn Carlo Lim Tan,COUNCILOR (2025),"GCLT CONSTRUCTION, GCLT CONSTRUCTION INCORPORATED"
Romeo C. Rivera,COUNCILOR (2025),RIVBROS CONSTRUCTION FACTORS & DEVELOPMENT
Raymond Anthony Cereno Calderon,MAYOR (2007),SIFFU ROCKS CONSTRUCTION
Remie Padernal Conte,COUNCILOR (2010),CONTE BUILDERS & CONSTRUCTION SUPPLY
Restituto L. Suarez,COUNCILOR (2010),YS CONSTRUCTION
ALLAN JOHN UY GOMEZ,COUNCILOR (2007),"ALGO CONSTRUCTION AND POWER DEVELOPMENT, INC."
Ricardo Gregorio T. Santos,COUNCILOR (2004),GRECO CONSTRUCTION AND SUPPLY
ARNOLD TEH BAUTISTA,MAYOR (2007),RADIANCE TRADERS & BUILDERS
Noel L. Valdecanas,MAYOR (2007),VF CONSTRUCTION
Renato Evangelista Dela Cruz,COUNCILOR (2004),RAMDC CONSTRUCTION AND TRADING
Alvin Hilario G. Uy,MAYOR (2013),G. UY CONSTRUCTION
Richard Martinez Nuval,COUNCILOR (2025),KRB CONSTRUCTION
Raul S. Cruz,COUNCILOR (2007),"PHILIPPINE CHEMSTEEL INDUSTRIES, INC."
Noel Y. Reyes,PROVINCIAL BOARD MEMBER (2004),RNV CONSTRUCTION
Rustico C. Mendoza,MAYOR (2016),RUSMEN BUILDERS & DEVELOPMENT CORPORATION
Manuel S. Que,MAYOR (2010),ROCKWORLD INDUSTRIES
Nestor O. Tolentino,PROVINCIAL BOARD MEMBER (2010),N-22 CONSTRUCTION AND TRADING
MICHAEL ANTHONY VALEZA TAN,"MEMBER, HOUSE OF REPRESENTATIVES (2025)",NIDA BUILDER'S & SUPPLIES
ARISTOTLE ABARCA ABELLA,MAYOR (2004),ARDE FIVE CONSTRUCTION
LUZVIMINDA ANTION LABAO,MAYOR (2022),KIRSKAT VENTURE
Danilo I. Uy,COUNCILOR (2004),DRU CONSTRUCTION
Mark Anthony S. Ortiz,COUNCILOR (2004),ASCENTIA CONSTRUCTION INCORPORATED
Noemi J. Talino,MAYOR (2007),NORTHERN COTABATO CONSTRUCTION AND SUPPLY
Rommel T. Concepcion,MAYOR (2013),HAIDEE CONSTRUCTION AND DEVELOPMENT CORPORATION
Clifford Lagadan Patil-ao,MAYOR (2007),NABANEW CONSTRUCTION AND SUPPLY
Ricardo F. Abriol Santos,COUNCILOR (2004),RICHMARK CONSTRUCTION INC.
FELIX LEO BALBALAN REYES,COUNCILOR (2004),FL REYES DESIGN & CONSTRUCTION
Jose Mari Rafael SR. Rodriguez,MAYOR (2007),APEIRON CONSTRUCTION SOLUTIONS
Maria Criselda Margarita Tetangco Beltran,Sister of Oscar  Tetangco (MAYOR),11-16 CONSTRUCTION
Elaine B. Gardiola,"Sister of EDWIN  GARDIOLA (Representative, CWS Party-list)","NEWINGTON BUILDERS, INC."
John G. Garcia,Nephew of BATO  DELA ROSA (SENATOR),J.G. GARCIA CONSTRUCTION & SUPPLY
Martin Gerard S. Tan,Father of STEPHEN  TAN (GOVERNOR),ON POINT CONSTRUCTION AND DEVELOPMENT CORPORATION
Earel L. Gardiola,"Brother of EDWIN  GARDIOLA (Representative, CWS Party-list)",LOUREL DEVELOPMENT CORPORATION
Martin Junboy Calderon Tan,Father of STEPHEN  TAN (GOVERNOR),SOLID M CONSTRUCTION
