nameOfFirm,licenseNumber,AMO,Category,validToDate,regForGovInfraProjects
JOCODZ CONSTRUCTION AND SUPPLIES,35510,JOCILE LAWAS CODILLA,D,2025-11-24,Yes
UNIMASTERS CONGLOMERATION INCORPORATED,03390,Wilson Liu Chan,AAA,2027-05-04,Yes
NEWBIG FOUR J CONSTRUCTION INC,15104,JAIME CRUZ CRUZ,AAA,2026-06-29,Yes
Z.A.S. CONSTRUCTION AND SUPPLY,08971,ZALDY SOMBISE ADRIANO,D,2026-08-29,Yes
ABBYJAVES BUILDERS AND CONSTRUCTION SUPPLY,37271,ALLAN NUÑEZ CABUSAS,D,2025-12-03,Yes
TRI-OHMS ENGINEERING,34971,Geronimo Vida Perey,A,2026-01-24,Yes
MARRAN CONSTRUCTION CORP.,24102,Sol De Bella F. Marfori,AAA,2028-12-18,Yes
"E. A. RAMIREZ CONSTRUCTION, INC.",11631,EDUARDO ANGELES RAMIREZ,A,2027-03-13,Yes
SB & T CONSTRUCTION OPC,25313,SHERLOCK GAMBOA UY,B,2026-08-14,Yes
G.M. PAJARILLAGA CONSTRUCTION & SUPPLY,21760,Orlando Pajimna Pajarillaga,C,2026-08-29,Yes
SB & T CONSTRUCTION OPC,25313,SHERLOCK GAMBOA UY,B,2026-08-14,Yes
JAN-ARCH CONSTRUCTION,37247,John Patrick Enova Ong,E,2025-11-26,No
LMD CONSTRUCTION,09410,MANUEL VENTURA SILLA,B,2027-02-27,Yes
ARG BUILDERS AND TRADING,36423,Arnel Reyes Gozon,D,2026-01-09,Yes
MJALONTO BUILDER & ENTERPRISES,36584,"Jamal Gonzales Alonto, Jr.",B,2026-02-19,Yes
DQT BUILDERS CORPORATION,07950,DOMINGO QUE TAN,A,2026-07-20,Yes
TDC II PRO BUILDERS,37241,Gilbert Nulud Deang,A,2025-11-21,Yes
GT-ISTRUKTURA CORP,37273,Ma. Geraldine Rejano Marte,A,2025-12-03,Yes
ROXIEMAR CONSTRUCTION,37282,Joanne Roxane Jerez Ferrolino,D,2025-12-03,Yes
DSOM GENERAL CONSTRUCTION,37363,Dennis Jimenez Sombrano,C,2025-12-23,Yes
SBU BUILDERS AND GENERAL MERCHANDISE,35570,William Liao Siao,D,2025-12-21,Yes
REYROSE CONSTRUCTION AND SUPPLY DEVELOPMENT CORPORATION,22934,Fernando D. Galaroza,B,2027-04-04,Yes
RGE CONST. AND SUPPLY INC. (formerly: R. G. EVANGELISTA CONSTRUCTION & SUPPLY),20375,Raul G. Evangelista,B,2026-12-20,Yes
KING EIGHT BUILDERS AND SUPPLY,37325,Ma. Lourdes Aven Senar,A,2025-12-10,Yes
"L.V. LEDESMA CONSTRUCTION, INC.",34473,Ludwig Van Ayo Ledesma,AAA,2026-04-23,Yes
BEBCON BUILDERS & SUPPLY,35853,Benjo Erasmo Besas,B,2026-03-09,Yes
MANGELESE CONSTRUCTION CORPORATION (FORMERLY: E.M. ANGELES ENTERPRISES),10150,Edgardo M. Angeles,B,2026-12-22,Yes
LAKEWOOD CONSTRUCTION COMPANY,05294,Jose Cabaral Tiu,E,2026-11-13,No
GKC BUILDER AND SUPPLY,37254,Clarita Obregon German,D,2025-12-03,Yes
MARCBILT CONSTRUCTION INC.,21844,Marc Anthony T. Tan,AA,2026-10-10,Yes
JUPA CONSTRUCTION,23577,Junell Paul D. Alcera,A,2026-08-15,Yes
G.M. PAJARILLAGA CONSTRUCTION & SUPPLY,21760,Orlando Pajimna Pajarillaga,C,2026-08-29,Yes
TRILEX BUILDERS AND CONSTRUCTION SUPPLY INC,26590,BERNADETTE V CHING,AA,2026-05-28,Yes
NVF CONSTRUCTION,13941,NORMA VERONA FRANCISCO,B,2027-04-08,Yes
PHILIPPINE GEOGREEN INC.,37233,Liza M. Crespo,B,2025-11-20,No
PANAAD CONSTRUCTION,37345,Joey Fajardo Galang,D,2025-12-12,Yes
"A.M.ORETA & CO.,INC.",00108,Artemio M. Santos,AAAA,2027-03-28,Yes
ARKCONS A.P.O. PHILIPPINES CORP.,34954,Gamirin Jerico Mahajudin Bajo,AAA,2026-01-24,Yes
TRAFFIC SUPPLIES & CONSTRUCTION CORPORATION,19584,Arthur G. San Gabriel,AA,2026-09-01,Yes
"PMM WORKS, INC.",37361,Wenceslao Marayan Cantero,AAA,2025-12-19,Yes
"R.T. LAPEÑA CONSTRUCTION & SUPPLY, INC.",34294,Mary Grace Tanghal Lapeña,B,2025-12-11,Yes
L&M RODRIGUEZ CONSTRUCTION AND TRADING INC.,37228,Lorenzo E. Rodriguez,B,2025-11-20,Yes
E. D. POLINTAN CONSTRUCTION AND TRADING,33141,Erwin David Polintan,C,2026-04-11,Yes
C.T. RUBIO CONSTRUCTION AND DEVELOPMENT CORPORATION,31864,Rowell R. Rubio,B,2026-03-29,Yes
FBS ENGINEERING & CONSTRUCTION,34931,FLORENCIO BULONG SOLIVEN,B,2026-01-10,Yes
KLDS TRADING AND CONSTRUCTION,28091,JOSELITO SAQUILAYAN SARIA,B,2026-03-01,Yes
BERTO LUCCI BUILDERS & SUPPLY,32560,MYRNA DOMINGO LOYOLA,A,2026-01-25,Yes
DUBC CONST CORP.,33010,RHOVICA ABALDE MIÑOZA,B,2025-12-18,Yes
MRJR CONSTRUCTION & TRADING,28265,WILANDO BAGAYAN BANTOG,A,2026-03-31,Yes
LONG ISLAND BUILDERS & CONSTRUCTION,31730,DEXTER WEE TSANG,A,2025-12-21,Yes
LYD CONSTRUCTION,37342,Lloyd Villegas Llorente,B,2025-12-12,Yes
"L.V. LEDESMA CONSTRUCTION, INC.",34473,Ludwig Van Ayo Ledesma,AAA,2026-04-23,Yes
CLIFF CONSTRUCTION & AGGREGATES,34224,Junifer Puguon Bosleng,B,2025-12-11,Yes
LAJ TRUCKING AND BUILDERS INCORPORATED,36350,JAIME LEONG CUÑADO,B,2025-12-13,Yes
FLORIANE CONSTRUCTION AND SUPPLY,12261,Diana L. Agot,B,2026-08-29,Yes
Kuatako Construction Building and General Contractor,11224,Harry L. Ciriaco,B,2026-11-08,No
A.R.L. CONSTRUCTION,27645,Alex Ruiz Lustre,B,2025-11-26,Yes
E M ABIN TRADING & CONSTRUCTION,34513,Elmer M. Abin,D,2026-06-24,Yes
CYCON INC,37316,Cyril Catimbang Salamanque,D,2025-12-10,Yes
