Name,District,Term_Start,Term_End,Congress,Party,Position
Raneo Abu,Batangas–2nd,2016-07-25,2019-06-30,17th,Nacionalista,
Mercedes Alvarez,Negros Occidental–6th,2016-08-15,2019-06-30,17th,NPC,
Fredenil Castro,Capiz–2nd,2016-07-25,2019-01-21,17th,NUP,
Miro Quimbo,Marikina–2nd,2016-07-25,2019-06-30,17th,Liberal,
Eric Singson,Ilocos Sur–2nd,2016-07-25,2019-06-30,17th,PDP–Laban,
Gloria Macapagal Arroyo,Pampanga–2nd,2016-08-15,2017-03-15,17th,Lakas,
Pia Cayetano,Taguig–Pateros–2nd,2016-08-15,2019-06-30,17th,Nacionalista,
Gwendolyn Garcia,Cebu–3rd,2016-08-15,2019-06-30,17th,PDP–Laban,
Mylene Garcia-Albano,Davao City–2nd,2016-08-15,2019-06-30,17th,PDP–Laban,
Sharon Garin,Party-list,2016-08-15,2019-06-30,17th,AAMBIS-Owa,
Bai Sandra Sema,Maguindanao–1st,2016-08-15,2019-06-30,17th,PDP–Laban,
Frederick Abueg,Palawan–2nd,2016-08-16,2019-06-30,17th,Liberal,
Rolando Andaya Jr.,Camarines Sur–1st,2016-08-16,2018-06-30,17th,PDP–Laban,
Ferdinand Hernandez,South Cotabato–2nd,2016-08-16,2019-06-30,17th,NPC,
Linabelle Villarica,Bulacan–4th,2017-08-09,2019-06-30,17th,Liberal,
Prospero Pichay Jr.,Surigao del Sur–1st,2018-08-15,2019-06-30,17th,Lakas,
Arthur C. Yap,Bohol–3rd,2018-08-15,2019-06-30,17th,PDP–Laban,
Rose Marie Arenas,Pangasinan–3rd,2018-08-29,2019-06-30,17th,PDP–Laban,
Evelina Escudero,Sorsogon–1st,2018-08-29,2019-06-30,17th,NPC,
Randolph Ting,Cagayan–3rd,2019-01-21,2019-06-30,17th,NUP,
Raneo Abu,Batangas–2nd,2019-07-22,2020-11-18,18th,Nacionalista,
Paolo Duterte,Davao City–1st,2019-07-22,2020-10-12,18th,HNP,
Evelina Escudero,Sorsogon–1st,2019-07-22,2022-06-30,18th,NPC,
Conrado Estrella III,Party-list,2019-07-22,2022-06-30,18th,Abono,
Dan Fernandez,Laguna–1st,2019-07-22,2020-11-18,18th,NUP,
Aurelio Gonzales Jr.,Pampanga–3rd,2019-07-22,2020-12-07,18th,PDP–Laban,
Neptali Gonzales II,Mandaluyong,2019-07-22,2022-06-30,18th,NUP,
Ferdinand Hernandez,South Cotabato–2nd,2019-07-22,2022-06-30,18th,NPC,
Loren Legarda,Antique,2019-07-22,2022-06-30,18th,NPC,
Prospero Pichay Jr.,Surigao del Sur–1st,2019-07-22,2022-06-30,18th,Lakas,
Johnny Pimentel,Surigao del Sur–2nd,2019-07-22,2020-12-07,18th,PDP–Laban,
Roberto Puno,Antipolo–1st,2019-07-22,2022-06-30,18th,NUP,
Luis Raymund Villafuerte,Camarines Sur–2nd,2019-07-22,2020-10-14,18th,Nacionalista,
Eddie Villanueva,Party-list,2019-07-22,2022-06-30,18th,CIBAC,
Rose Marie Arenas,Pangasinan–3rd,2019-07-29,2022-06-30,18th,PDP–Laban,
Rodante Marcoleta,Party-list,2019-07-29,2022-06-30,18th,SAGIP,
Pablo John Garcia,Cebu–3rd,2019-07-29,2022-06-30,18th,NUP,
Henry Oaminal,Misamis Occidental–2nd,2019-07-29,2022-06-30,18th,Nacionalista,
Vilma Santos,Batangas–6th,2019-08-13,2022-06-30,18th,Nacionalista,
Deogracias Victor Savellano,Ilocos Sur–1st,2019-08-13,2022-06-30,18th,Nacionalista,
Mujiv Hataman,Basilan,2019-08-13,2022-06-30,18th,Liberal,
Mikee Romero,Party-list,2019-08-13,2020-10-02,18th,1-PACMAN,
Fredenil Castro,Capiz–2nd,2020-10-02,2020-11-18,18th,Lakas,
Paulino Salvador Leachon,Oriental Mindoro–1st,2020-10-14,2022-06-30,18th,PDP–Laban,
Mikee Romero,Party-list,2020-10-14,2022-06-30,18th,1-PACMAN,
Lito Atienza,Party-list,2020-11-18,2022-06-30,18th,Buhay,
Rufus Rodriguez,Cagayan de Oro–2nd,2020-11-18,2022-06-30,18th,CDP,
Benny Abante,Manila–6th,2020-12-07,2022-06-30,18th,NUP,
Juan Pablo Bondoc,Pampanga–4th,2020-12-07,2022-06-30,18th,PDP–Laban,
Bernadette Herrera,Party-list,2020-12-07,2022-06-30,18th,Bagong Henerasyon,
Wes Gatchalian,Valenzuela–1st,2020-12-07,2022-06-30,18th,NPC,
Eric Martinez,Valenzuela–2nd,2020-12-07,2022-06-30,18th,PDP–Laban,
Kristine Singson-Meehan,Ilocos Sur–2nd,2020-12-07,2022-06-30,18th,Bileg,
Rogelio Pacquiao,Sarangani,2020-12-07,2022-06-30,18th,PDP–Laban,
Arnie Teves,Negros Oriental–3rd,2020-12-07,2022-06-30,18th,PDP–Laban,
Divina Grace Yu,Zamboanga del Sur–1st,2020-12-07,2022-06-30,18th,PDP–Laban,
Strike Revilla,Cavite–2nd,2020-12-14,2022-06-30,18th,NUP,
Abraham Tolentino,Cavite–8th,2020-12-16,2022-06-30,18th,PDP–Laban,
Isidro Ungab,Davao City–3rd,2020-12-16,2022-06-30,18th,HNP,
Camille Villar,Las Piñas,2021-02-02,2022-06-30,18th,Nacionalista,
Len Alonte,Biñan,2021-03-25,2022-06-30,18th,PDP–Laban,
Gloria Macapagal Arroyo,Pampanga–2nd,2022-07-25,2023-11-07,19th,Lakas,
Raymond Mendoza,Party-list,2022-07-25,2025-06-30,19th,TUCP,
Roberto Puno,Antipolo–1st,2022-07-25,2025-06-30,19th,NUP,
Kristine Singson-Meehan,Ilocos Sur–2nd,2022-07-25,2025-06-30,19th,NPC,
Isidro Ungab,Davao City–3rd,2022-07-25,2023-11-07,19th,Lakas,
Camille Villar,Las Piñas,2022-07-25,2025-06-30,19th,Nacionalista,
Ralph Recto,Batangas–6th,2022-07-27,2024-01-12,19th,Nacionalista,
Aurelio Gonzales Jr.,Pampanga–3rd,2022-07-27,2025-06-30,19th,PDP–Laban/Lakas,
Duke Frasco,Cebu–5th,2022-07-27,2025-06-30,19th,NUP/One Cebu,
Tonypet Albano,Isabela–1st,2023-11-07,2025-06-30,19th,Lakas,
Yasser Balindong,Lanao del Sur–2nd,2023-11-07,2025-06-30,19th,Lakas,
David Suarez,Quezon–2nd,2024-01-23,2025-06-30,19th,Lakas,
David Suarez,Quezon–2nd,2025-07-28,Incumbent,20th,Lakas,Senior Deputy Speaker
Janette Garin,Iloilo–2nd,2025-07-28,Incumbent,20th,Lakas,
Yasser Balindong,Lanao del Sur–2nd,2025-07-28,Incumbent,20th,Lakas,
Paolo Ortega,La Union–1st,2025-07-28,Incumbent,20th,Lakas,
Jay Khonghun,Zambales–1st,2025-07-28,Incumbent,20th,Lakas,
Kristine Singson-Meehan,Ilocos Sur–2nd,2025-07-28,Incumbent,20th,NPC,
Ronaldo Puno,Antipolo–1st,2025-07-28,Incumbent,20th,NUP,
Bojie Dy,Isabela–6th,2025-07-28,2025-09-17,20th,PFP,
Ferjenel Biron,Iloilo–4th,2025-07-28,Incumbent,20th,Nacionalista,
Raymond Mendoza,Party-list,2025-07-28,Incumbent,20th,TUCP,
Yevgeny Emano,Misamis Oriental–2nd,2025-08-11,Incumbent,20th,Nacionalista,
Ferdinand Hernandez,South Cotabato–2nd,2025-10-10,Incumbent,20th,PFP,
