Project Title,GAA Page,Amount
247 Adriatico Br. (B02290LZ) along M Adriatico,,"100,000,000"
"209 Alaminos-San Pablo City Bypass Road (Alaminos Section), Laguna",,"300,000,000"
243 Alcate Br. (B00027MR) along CSR Jct-Minas Rd,,"232,000,000"
245 Aninuan Br. (B00190MR) along Calapan North Rd,,"31,400,000"
133 Arayat St Chainage 000- Chainage 491,,"24,000,000"
104 Asphalt Overlay along North Expressway West Service Rd (Caloocan),,"40,000,000"
"109 Atabay-Inabasan RdK0098+(-438)-K0098 +290, K0103+000-K0103+606",,"30,500,000"
85 Aurora Blvd K0007+615K0008 + 740,,"50,000,000"
85 Aurora Blvd K0008515-K0006 +306,,"50,000,000"
259 Aurora/Katipunan Flyover (B03211LZ) along C-5 (Katipunan/Aurora Flyover),,"150,000,000"
79 Bacolod Circumferential RdK0003 + (-535)-K0006 +000,,"147,500,000"
"60 Bacolod North RdK0049+366-K0050 + 616, K0085+487-K0086 + 301",,"150,000,000"
60 Bacolod North RdK0088 +596-K0091 +537,,"150,000,000"
60 Bacolod North RdK0090+252 K0091 +537,,"147,500,000"
99 Bacolod North Rd (Old Route) - K0072+ (-938)-K0074+000,99,"149,500,000"
99 Bacolod North Rd (Old Route) - K0074+000-K0076 + 666,99,"149,500,000"
"60 Bacolod South Rd K0000+000-K0002+982, K0003 + 300-K0004+085",,"147,500,000"
"60 Bacolod South Rd K0055 +174-K0056+000, K0056 +570-K0056 + 720",,"66,500,000"
60 Bacolod South RdK0064+538-K0065 + 364,,"56,500,000"
"209 Bacoor Diversion Road, Package E, Cavite",,"300,000,000"
133 Balete Drive K0010+ (-740)-K0010+424,,"32,000,000"
109 Bantayan-Sn Pedro-Cubay Rd Chainage 0 Chainage 714,,"29,500,000"
79 Bantayan-Sn Pedro-Cubay RdK0098+122K0101 +000,,"133,500,000"
79 Bantayan-Sn Pedro-Cubay RdK0101+000-K0103+000,,"97,500,000"
79 Bantayan-Sn Pedro-Cubay RdK0104+000-K0106 + 103,,"97,500,000"
90 Bantayan-Sn Pedro-Cubay Rd K0106103K0108 + 087,,"40,500,000"
"209 Batangas City - San Pascual Bauan Diversion Road, Package 1, Batangas",,"350,000,000"
"Batangas City - San Pascual Bauan Diversion Road, Package 2, Batangas",209,"350,000,000"
"Batangas City - San Pascual Bauan Diversion Road, Package 3, Batangas",209,"350,000,000"
Batangas-Tabangao-Lobo Rd,75,"350,000,000"
Bauang-Baquio RdK0264+866-K0267 + 079,56,"100,000,000"
Bayawan-Mabinay Rd. K0129+600-K0131+500,100,"98,000,000"
Bayawan-Mabinay Rd. K0131 +500-K0133+ 216,100,"111,000,000"
Bayawan-Mabinay Rd. K0133216-K0136 + 116,100,"149,000,000"
Bayawan-Mabinay Rd. K0136+116-K0137+638,100,"100,000,000"
Bayawan-Mabinay Rd. K0137+638-K0139 + 160,100,"98,000,000"
"Binalbagan-Isabela Rd-K0062+000-K0063 + 250, K0065 +435-K0066 + 511, Chainage 0- Chainage 29",99,"75,000,000"
Buendia Fly-Over (B01562LZ) along Roxas BlvdGil -Puyat Flyover,247,"150,000,000"
"Bugo-Gen Fullon RdK0127+ (-788)-K0127+036, K0129 + 503-K0129+614",109,"18,500,000"
C-5 Road K0015+(-714)-K0015 + 1062,70,"90,000,000"
C-5-Sampaguita East On & Off Ramp Rd (B04748LZ) along C-5/Sampaguita east On & Off Ramp Rd,263,"25,000,000"
C-5/Sampaguita East & West Interchange (B04747LZ) along C-5/Sampaguita East & West Interchange,247,"100,000,000"
C-5/Sampaguita Flyover (East & West Ramp On) (B04749LZ) along C-5/Sampaguita Fly- Over (East & West Ramps Connector),263,"50,000,000"
C-5/Sampaguita West Ramp on Rd (B04751LZ) along C-5/Sampaguita West Ramp on Rd,247,"100,000,000"
C5/Ortigas Flyover (B03318LZ) along C5- Ortigas Flyover,247,"100,000,000"
C5/Ortigas Interchange (B03320LZ) along C-5 Ortigas Interchange,253,"25,000,000"
Calamba-Sta Cruz-Famy Jct RdK0105+516-K0105 +000,88,"40,873,000"
Candaba Parallel Br. along Baliwag-Candaba-Sta Ana Rd,279,"180,000,000"
Canubing Br. (B00173MR) along Calapan North Rd,245,"36,000,000"
Casiligan Br. (B00028MR) along CSR Jct-Pola Rd,245,"26,400,000"
"Cavite-Batangas Rd K0032+057-K0032+885, K0034 +246-K0034+ 302, K0037 +413-K0037 + 955",75,"123,000,000"
Cavite-Batangas Rd K0051+131K0051 +771,88,"44,000,000"
Central Luzon Leprosarium Rd-K0031+(-170)-K0031 + 724,133,"20,000,000"
Commonwealth Ave K0013+400-K0013 +820,119,"100,000,000"
Commonwealth Ave K0013820-K0014 + 240,119,"100,000,000"
Commonwealth Ave-K0015 + (-275)-K0015+ 145,119,"100,000,000"
"Construction of River Control Structure along Romelo River, Siniloan, Laguna",394,"98,000,000"
