person1_name,person2_name,relationship_type,relationship_description,dynasty1,dynasty2,source_url,confidence_level
"Edcel Lagman","Edcel Greco Lagman","Father/Son","Edcel Lagman is the father of Edcel Greco Lagman, both serving as representatives from Albay, forming the Lagman political dynasty.","LAGMAN","LAGMAN","https://en.wikipedia.org/wiki/Edcel_Lagman",10
"Elias Bulut","Eleanor Bulut-Begtang","Father/Daughter","Elias Bulut is the father of Eleanor Bulut-Begtang, both of whom have served as governor and representative of Apayao, respectively, in the Bulut dynasty.","BULUT","BULUT","https://en.wikipedia.org/wiki/Elias_Bulut_Sr.",10
"Elias Bulut","Elias Bulut Jr.","Father/Son","Elias Bulut is the father of Elias Bulut Jr., both of whom have served as governor and representative of Apayao, respectively, in the Bulut dynasty.","BULUT","BULUT","https://en.wikipedia.org/wiki/Elias_Bulut_Sr.",10
"Niel Tupas","Niel Tupas Jr.","Father/Son","Niel Tupas is the father of Niel Tupas Jr., both of whom have served as governor and representative of Iloilo, respectively, in the Tupas dynasty.","TUPAS","TUPAS","https://en.wikipedia.org/wiki/Niel_Tupas_Sr.",10
"Niel Tupas","Raul Tupas","Father/Son","Niel Tupas is the father of Raul Tupas, both of whom have served as governor and representative of Iloilo, respectively, in the Tupas dynasty.","TUPAS","TUPAS","https://en.wikipedia.org/wiki/Niel_Tupas_Sr.",10
"Arthur Defensor","Arthur Defensor Jr.","Father/Son","Arthur Defensor is the father of Arthur Defensor Jr., both of whom have served as governor and representative of Iloilo, respectively, in the Defensor dynasty.","DEFENSOR","DEFENSOR","https://en.wikipedia.org/wiki/Arthur_Defensor_Sr.",10
"Amado Espino","Amado Espino III","Father/Son","Amado Espino is the father of Amado Espino III, both of whom have served as governor and representative of Pangasinan, respectively, in the Espino dynasty.","ESPINO","ESPINO","https://en.wikipedia.org/wiki/Amado_Espino_Jr.",10
"Eric Singson","Eric Singson Jr.","Father/Son","Eric Singson is the father of Eric Singson Jr., both of whom have served as representatives of Ilocos Sur, in the Singson dynasty.","SINGSON","SINGSON","https://en.wikipedia.org/wiki/Eric_Singson",10
"Faustino Dy","Faustino Dy III","Father/Son","Faustino Dy is the father of Faustino Dy III, both of whom have served as governor and representative of Isabela, respectively, in the Dy dynasty.","DY","DY","https://en.wikipedia.org/wiki/Faustino_Dy_III",10
"Faustino Dy","Benjamin Dy","Father/Son","Faustino Dy is the father of Benjamin Dy, both of whom have served as governor of Isabela, in the Dy dynasty.","DY","DY","https://en.wikipedia.org/wiki/Faustino_Dy",10
"Faustino Dy","Caesar Dy Sr.","Father/Son","Faustino Dy is the father of Caesar Dy Sr., both of whom have served as mayor and governor in Isabela, in the Dy dynasty.","DY","DY","https://en.wikipedia.org/wiki/Faustino_Dy",10
"Faustino Dy","Napoleon Dy","Father/Son","Faustino Dy is the father of Napoleon Dy, both of whom have served as mayor and governor in Isabela, in the Dy dynasty.","DY","DY","https://en.wikipedia.org/wiki/Faustino_Dy",10
"Esteban Contreras","Ramon Contreras","Father/Son","Esteban Contreras is the father of Ramon Contreras, both of whom have served as governor and board member of Capiz, respectively, in the Contreras dynasty.","CONTRERAS","CONTRERAS","https://www.rappler.com/nation/elections/esteban-contreras-capiz-governor-2019/",8
