company_name,person_name,role,source_url,confidence_level
1 SOURCE GLOBAL ENTERPRISE INC.,John Doe,President,http://example.com/source_global,8
1 STOP DC ENTERPRISE CO.,Jane Smith,Treasurer,http://example.com/stop_dc,7
1 TIMOTHY CONSTRUCTION AND TRADING CORPORATION,Timothy Lee,Director,http://example.com/timothy_construction,9
1-6-8 CONSTRUCTION AND SUPPLY,Michael Johnson,Corporate Secretary,http://example.com/16-8_construction,6
1-AIR MASTER ENTERPRISE INC.,Alice Brown,Owner,http://example.com/air_master,8
1-ETF Construction Services Opc,Robert White,President,http://example.com/1-etf,7
1-Eagle Allied & Builders Inc.,Emily Davis,Treasurer,http://example.com/eagle_allied,8
1-MIDAS BUILDERS INC.,David Wilson,Director,http://example.com/midas_builders,9
1-UP BCL8 Supply and Construction Corp.,Sarah Miller,Corporate Secretary,http://example.com/up_bcl8,6
10 25 GEN. MDSE. (IMUS CAVITE) CO.,Chris Taylor,Owner,http://example.com/10_25_imus,7
10 25 GEN. MDSE. CO.,Jessica Anderson,Treasurer,http://example.com/10_25_gen_mdse,8
10 BUILDERS AND DEVELOPMENT CORPORATION,Kevin Thomas,President,http://example.com/10_builders,9
10 DIGIT ENTERPRISE,Laura Martinez,Director,http://example.com/10_digit,7
10 FIELDS CONSTRUCTION CORPORATION,Daniel Garcia,Corporate Secretary,http://example.com/10_fields,6
10-02 ENTERPRISES CO., INC,Michelle Rodriguez,Owner,http://example.com/10-02_enterprises,8
1001 CONSTRUCTION AND DEVELOPMENT CORP.,Brian Hernandez,President,http://example.com/1001_construction,9
101 General Construction and Supply CO.,Angela Clark,Treasurer,http://example.com/101_general,7
101 PROPERTY PLANNERS & DEVELOPERS CORPORATION,Mark Lewis,Director,http://example.com/101_property,8
101 REALTY DEVELOPERS INC.,Nancy Walker,Corporate Secretary,http://example.com/101_realty,6
1013 CONSTRUCTION CORPORATION,Paul Hall,Owner,http://example.com/1013_construction,7
1018 HARDWARE,Laura Young,Treasurer,http://example.com/1018_hardware,8
1020 CONSTRUCTION CORP.,James King,President,http://example.com/1020_construction,9
1021 BUILDERS INC.,Patricia Wright,Director,http://example.com/1021_builders,7
1021 DEVELOPMENT CORP.,Steven Scott,Corporate Secretary,http://example.com/1021_development,6
1022-F GRAPHICS ENTERPRISES, INCORPORATED,Jessica Green,Owner,http://example.com/1022f_graphics,8
1024 CONSTRUCTION & DEVELOPMENT CORPORATION,Robert Adams,Treasurer,http://example.com/1024_construction,7
1024 CONSTRUCTION AND DEVELOPMENT CORPORATION,Emily Nelson,President,http://example.com/1024_dev,9
1026 ENTERPRISES,Michael Carter,Director,http://example.com/1026_enterprises,6
1053 CONST. CORP.,Sarah Mitchell,Corporate Secretary,http://example.com/1053_const,7
1064 CONSTRUCTION CORPORATION,David Perez,Owner,http://example.com/1064_construction,8
1067 CONSTRUCTION & TRADING CORPORATION,Laura Roberts,Treasurer,http://example.com/1067_trading,7
107 CONSTRUCTION INCORPORATED DOING BUSINESS UNDER THE NAME AND STYLE OF DDS TRUCK MASTER,Chris Turner,President,http://example.com/107_construction,9
108 ENTERPRISES INCORPORATED,Angela Phillips,Director,http://example.com/108_enterprises,8
108 GENERAL BUILDERS INC.,Kevin Campbell,Corporate Secretary,http://example.com/108_general_builders,6
108 GENERAL BUILDERS, INC,Michelle Evans,Owner,http://example.com/108_general_builders_inc,7
1081 TAILOR & GEN. MERCHANDISE,James Edwards,Treasurer,http://example.com/1081_tailor,8
11 DIAMOND EAGLE CONSTRUCTION,Patricia Collins,President,http://example.com/11_diamond_eagle,9
11 DIAMOND EAGLE CONSTRUCTION -,Robert Stewart,Director,http://example.com/11_diamond_eagle_alt,7
11 DIAMOND EAGLE CONSTRUCTION CORPORATION,Laura Sanchez,Corporate Secretary,http://example.com/11_diamond_eagle_corp,6
