person1_name,person2_name,relationship_type,relationship_description,dynasty1,dynasty2,source_url,confidence_level
ERWIN TULFO,BEN BITAG TULFO,Brother,"Siblings in the Tulfo dynasty, both running for Senate in 2025",TULFO,TULFO,https://www.philstar.com/headlines/2025/02/18/2422416/no-law-defines-political-dynasties-says-erwin-tulfo,10
ERWIN TULFO,RAFFY TULFO,Brother,"Siblings, Raffy is incumbent Senator, Erwin ran for Senate in 2025",TULFO,TULFO,https://www.philstar.com/headlines/2025/02/18/2422416/no-law-defines-political-dynasties-says-erwin-tulfo,10
BEN BITAG TULFO,RAFFY TULFO,Brother,"Siblings in the Tulfo dynasty, both broadcast journalists turned politicians",TULFO,TULFO,https://asianjournal.com/philippines/from-prime-time-to-power-the-tulfo-brothers-disruptive-rise-in-philippine-politics/,10
RAFFY TULFO,JOCELYN PUA-TULFO,Husband,"Married couple, Jocelyn is ACT-CIS Representative",TULFO,TULFO,https://verafiles.org/articles/fact-check-ben-tulfo-touts-misleading-claims-on-political-dynasty,10
RAFFY TULFO,RALPH WENDEL TULFO,Father,"Father-son relationship, Ralph is Quezon City Rep.",TULFO,TULFO,https://verafiles.org/articles/fact-check-ben-tulfo-touts-misleading-claims-on-political-dynasty,10
JOCELYN PUA-TULFO,RALPH WENDEL TULFO,Mother,"Mother-son relationship, both serve in House of Representatives",TULFO,TULFO,https://verafiles.org/articles/fact-check-ben-tulfo-touts-misleading-claims-on-political-dynasty,10
WANDA TULFO-TEO,ERWIN TULFO,Sister,"Siblings, Wanda was Tourism Secretary under Duterte, now Turismo party-list nominee",TULFO,TULFO,https://verafiles.org/articles/fact-check-ben-tulfo-touts-misleading-claims-on-political-dynasty,10
WANDA TULFO-TEO,BEN BITAG TULFO,Sister,Siblings in the Tulfo dynasty,TULFO,TULFO,https://verafiles.org/articles/fact-check-ben-tulfo-touts-misleading-claims-on-political-dynasty,10
WANDA TULFO-TEO,RAFFY TULFO,Sister,Siblings in the Tulfo dynasty,TULFO,TULFO,https://verafiles.org/articles/fact-check-ben-tulfo-touts-misleading-claims-on-political-dynasty,10
RUFUS RODRIGUEZ,MAXIMO RODRIGUEZ JR.,Brother,"Brothers from Cagayan de Oro, both served in House of Representatives",RODRIGUEZ,RODRIGUEZ,https://www.bulatlat.com/2019/05/07/party-list-groups-family-enterprise/,10
MAXIMO RODRIGUEZ SR.,RUFUS RODRIGUEZ,Father,"Father-son relationship, Maximo Sr. born 1925",RODRIGUEZ,RODRIGUEZ,https://www.facebook.com/RufusBRodriguez/posts/1237241787757755/,9
MAXIMO RODRIGUEZ SR.,MAXIMO RODRIGUEZ JR.,Father,"Father-son relationship, namesake",RODRIGUEZ,RODRIGUEZ,https://www.facebook.com/RufusBRodriguez/posts/1237241787757755/,9
MAXIMO RODRIGUEZ JR.,MARY GRACE RODRIGUEZ,Husband,"Married couple, Mary Grace ran as ABAMIN party-list representative",RODRIGUEZ,RODRIGUEZ,https://www.bulatlat.com/2019/05/07/party-list-groups-family-enterprise/,10
BONG GO,DESIDERIO GO,Son,"Father-son relationship, Desiderio is a Davao-based businessman",GO,GO,https://en.wikipedia.org/wiki/Bong_Go,10
BONG GO,MARICHU TESORO-GO,Son,"Mother-son relationship, Marichu is from Batangas",GO,GO,https://en.wikipedia.org/wiki/Bong_Go,10
BONG GO,AUGUST TESORO,Grandson,Grandson of August Tesoro who founded a major printing company in Davao,GO,GO,https://en.wikipedia.org/wiki/Bong_Go,10
ABDUSAKUR TAN,ABDUSAKUR TAN II,Father,"Father-son relationship, both served as Governor of Sulu",TAN,TAN,https://pcij.org/2024/12/08/who-can-dislodge-political-dynasties/,10
ABDUSAKUR TAN,NURUNISAH ABUBAKAR-TAN,Husband,"Married couple, Nurunisah was former Vice Governor of Sulu",TAN,TAN,https://en.wikipedia.org/wiki/Abdusakur_Mahail_Tan,10
ABDUSAKUR TAN,SHERNEE TAN,Father,"Father-daughter relationship, Shernee is youngest daughter seeking political position",TAN,TAN,https://pcij.org/2024/12/04/political-dynasties-also-swarm-the-party-list-elections/,10
ABDUSAKUR TAN,ABUBAKAR TAN,Father,"Father-son relationship, Abubakar Tan was former mayor of Maimbung",TAN,TAN,https://en.wikipedia.org/wiki/Abdusakur_Mahail_Tan,10
REYNALDO TAN,STEPHEN JAMES TAN,Father,"Father-son relationship, Reynaldo is former governor of Samar, Stephen is 1st District Rep",TAN,TAN,https://newsinfo.inquirer.net/1595755/tan-family-dominates-2022-polls-in-samar,10
STEPHEN JAMES TAN,STEPHANY UY-TAN,Husband,"Married couple, Stephany is Governor of Samar",TAN,TAN,https://en.wikipedia.org/wiki/Stephany_Uy-Tan,10
STEPHEN JAMES TAN,SHAREE ANN TAN,Brother,"Siblings, Sharee Ann is 2nd District Rep of Samar",TAN,TAN,https://newsinfo.inquirer.net/1595755/tan-family-dominates-2022-polls-in-samar,10
REYNALDO TAN,SHAREE ANN TAN,Father,"Father-daughter relationship, both in Samar politics",TAN,TAN,https://newsinfo.inquirer.net/1595755/tan-family-dominates-2022-polls-in-samar,10
REYNALDO TAN,MILAGROSA TAN,Husband,"Married couple, both in Samar political dynasty",TAN,TAN,https://www.pna.gov.ph/articles/1174072,9
BONG GO,RODRIGO DUTERTE,Political Ally,"Served as Special Assistant to President Duterte from 1998-2025, close political ally",GO,DUTERTE,https://en.wikipedia.org/wiki/Bong_Go,10
