person1_name,person2_name,relationship_type,relationship_description,dynasty1,dynasty2,source_url,confidence_level
PABLO P. GARCIA,GWENDOLYN GARCIA,Father,"Father-daughter, Pablo was Governor of Cebu 1995-2004, Gwendolyn succeeded him as Governor",GARCIA,GARCIA,https://en.wikipedia.org/wiki/Gwendolyn_Garcia,10
PABLO P. GARCIA,PABLO JOHN GARCIA,Father,"Father-son, Pablo John is 3rd District Representative of Cebu and Deputy Speaker",GARCIA,GARCIA,https://en.wikipedia.org/wiki/Pablo_John_Garcia,10
PABLO P. GARCIA,WINSTON GARCIA,Father,"Father-son, Winston was GSIS manager and ran for Governor in 2016",GARCIA,GARCIA,https://en.wikipedia.org/wiki/Pablo_John_Garcia,10
PABLO P. GARCIA,BYRON GARCIA,Father,"Father-son, Byron was security consultant for Cebu provincial government",GARCIA,GARCIA,https://en.wikipedia.org/wiki/Pablo_P._Garcia,10
PABLO P. GARCIA,MARLON GARCIA,Father,"Father-son, Marlon was Mayor of Barili, Cebu (deceased 2020)",GARCIA,GARCIA,https://newsinfo.inquirer.net/1475744/former-cebu-governor-pablo-pabling-garcia-passes-away-at-95,10
PABLO P. GARCIA,NELSON GAMALIEL GARCIA,Father,"Father-son, Nelson was Mayor of Dumanjug, Cebu (deceased 2020)",GARCIA,GARCIA,https://en.wikipedia.org/wiki/Pablo_P._Garcia,10
GWENDOLYN GARCIA,PABLO JOHN GARCIA,Sister,"Siblings, eldest daughter and youngest son of Pablo Garcia, both hold high offices",GARCIA,GARCIA,https://en.wikipedia.org/wiki/Pablo_John_Garcia,10
GWENDOLYN GARCIA,WINSTON GARCIA,Sister,Siblings in the Garcia dynasty of Cebu,GARCIA,GARCIA,https://en.wikipedia.org/wiki/Pablo_John_Garcia,10
PABLO JOHN GARCIA,WINSTON GARCIA,Brother,"Siblings, both sons of Pablo P. Garcia",GARCIA,GARCIA,https://en.wikipedia.org/wiki/Pablo_John_Garcia,10
PABLO JOHN GARCIA,BYRON GARCIA,Brother,Siblings in the Garcia dynasty,GARCIA,GARCIA,https://en.wikipedia.org/wiki/Pablo_John_Garcia,10
PABLO JOHN GARCIA,MARLON GARCIA,Brother,"Siblings, Marlon was Mayor of Barili",GARCIA,GARCIA,https://en.wikipedia.org/wiki/Pablo_John_Garcia,10
MARLON GARCIA,PABLO JOHN GARCIA IV,Father,"Father-son, Pablo John IV is councilor of Barili after his father's death",GARCIA,GARCIA,https://www.facebook.com/cebugovph/posts/6172489606126224/,10
NELSON GAMALIEL GARCIA,MARLON GARCIA,Brother,"Siblings, both were mayors in Cebu (Nelson in Dumanjug, Marlon in Barili)",GARCIA,GARCIA,https://en.wikipedia.org/wiki/Pablo_P._Garcia,10
PABLO P. GARCIA,ESPERANZA FIEL-GARCIA,Husband,"Married couple, Esperanza was a Judge (deceased 2016)",GARCIA,GARCIA,https://en.wikipedia.org/wiki/Pablo_John_Garcia,10
GILBERT I. GO,MICHAEL GARRONITA,Political Ally,Both serve as local officials in Eastern Samar province,GO,GARRONITA,https://peoplaid.com/2020/03/14/gilbert-go/,5
CESAR IAN ACENAS,JESUS ACENAS,Father,"Possible father-son relationship, both from Cagayan de Oro political family",ACENAS,ACENAS,https://www.facebook.com/joaquinkikanguy/posts/1784237982211030/,7
ELISEO GARCIA,PABLO P. GARCIA,Cousin,Possible distant relative in Garcia political family network,GARCIA,GARCIA,https://www.facebook.com/vicemayorelygarcia/,4
