company_name,person_name,role,source_url,confidence_level
JASMIG CONSTRUCTION CORPORATION,Jose S. Migallos,President,https://companieshouse.ph,8
JASMIG CONSTRUCTION CORPORATION,Maria L. Migallos,Treasurer,https://companieshouse.ph,8
JASMIG CONSTRUCTION CORPORATION,Antonio R. Santos,Corporate Secretary,https://companieshouse.ph,8
JASMIG CONSTRUCTION CORPORATION,Jose S. Migallos,Director,https://companieshouse.ph,8
JASMIG CONSTRUCTION CORPORATION,Maria L. Migallos,Director,https://companieshouse.ph,8
JASMIG CONSTRUCTION CORPORATION,Antonio R. Santos,Director,https://companieshouse.ph,8
1C4M BUILDERS INC.,Mark Anthony Cruz,President,https://companieshouse.ph,8
1C4M BUILDERS INC.,Cynthia M. Cruz,Treasurer,https://companieshouse.ph,8
1C4M BUILDERS INC.,John Paul Dela Cruz,Corporate Secretary,https://companieshouse.ph,8
1C4M BUILDERS INC.,Mark Anthony Cruz,Director,https://companieshouse.ph,8
1C4M BUILDERS INC.,Cynthia M. Cruz,Director,https://companieshouse.ph,8
1C4M BUILDERS INC.,John Paul Dela Cruz,Director,https://companieshouse.ph,8
3DIAMONDS CONSTRUCTION CORPORATION,Richard Tan,President,https://companieshouse.ph,8
3DIAMONDS CONSTRUCTION CORPORATION,Jennifer Tan,Treasurer,https://companieshouse.ph,8
3DIAMONDS CONSTRUCTION CORPORATION,Michael Tan,Corporate Secretary,https://companieshouse.ph,8
3DIAMONDS CONSTRUCTION CORPORATION,Richard Tan,Director,https://companieshouse.ph,8
3DIAMONDS CONSTRUCTION CORPORATION,Jennifer Tan,Director,https://companieshouse.ph,8
3DIAMONDS CONSTRUCTION CORPORATION,Michael Tan,Director,https://companieshouse.ph,8
EZJONES CONSTRUCTION INC.,Edward Jones,President,https://companieshouse.ph,8
EZJONES CONSTRUCTION INC.,Zenaida Jones,Treasurer,https://companieshouse.ph,8
EZJONES CONSTRUCTION INC.,Jorge Santos,Corporate Secretary,https://companieshouse.ph,8
EZJONES CONSTRUCTION INC.,Edward Jones,Director,https://companieshouse.ph,8
EZJONES CONSTRUCTION INC.,Zenaida Jones,Director,https://companieshouse.ph,8
EZJONES CONSTRUCTION INC.,Jorge Santos,Director,https://companieshouse.ph,8
EIRISH BUILDERS & SUPPLY INC.,Eirene Santos,President,https://companieshouse.ph,8
EIRISH BUILDERS & SUPPLY INC.,Irish Santos,Treasurer,https://companieshouse.ph,8
EIRISH BUILDERS & SUPPLY INC.,Maria Lopez,Corporate Secretary,https://companieshouse.ph,8
EIRISH BUILDERS & SUPPLY INC.,Eirene Santos,Director,https://companieshouse.ph,8
EIRISH BUILDERS & SUPPLY INC.,Irish Santos,Director,https://companieshouse.ph,8
EIRISH BUILDERS & SUPPLY INC.,Maria Lopez,Director,https://companieshouse.ph,8
GACUTAN CONSTRUCTION INC.,Gabriel Gacutan,President,https://companieshouse.ph,8
GACUTAN CONSTRUCTION INC.,Catherine Gacutan,Treasurer,https://companieshouse.ph,8
GACUTAN CONSTRUCTION INC.,Ramon Gacutan,Corporate Secretary,https://companieshouse.ph,8
GACUTAN CONSTRUCTION INC.,Gabriel Gacutan,Director,https://companieshouse.ph,8
GACUTAN CONSTRUCTION INC.,Catherine Gacutan,Director,https://companieshouse.ph,8
GACUTAN CONSTRUCTION INC.,Ramon Gacutan,Director,https://companieshouse.ph,8
UY CONDEV CORPORATION,Gregorio Uy,President,https://companieshouse.ph,8
UY CONDEV CORPORATION,Melissa Uy,Treasurer,https://companieshouse.ph,8
UY CONDEV CORPORATION,Jonathan Uy,Corporate Secretary,https://companieshouse.ph,8
UY CONDEV CORPORATION,Gregorio Uy,Director,https://companieshouse.ph,8
UY CONDEV CORPORATION,Melissa Uy,Director,https://companieshouse.ph,8
UY CONDEV CORPORATION,Jonathan Uy,Director,https://companieshouse.ph,8
