person1_name,person2_name,relationship_type,relationship_description,dynasty1,dynasty2,source_url,confidence_level
"PIA CAYETANO","ALAN PETER CAYETANO","Brother/Sister","Siblings in the CAYETANO political dynasty","CAYETANO","CAYETANO","https://en.wikipedia.org/wiki/Pia_Cayetano",9
"PIA CAYETANO","RENATO CAYETANO","Father/Daughter","Pia is the daughter of former Senator Renato Cayetano","CAYETANO","CAYETANO","https://en.wikipedia.org/wiki/Pia_Cayetano",9
"PING LACSON","RONALD DELA ROSA","Political Ally","Both served as Senators and have aligned on various legislative issues","LACSON","DELA ROSA","https://en.wikipedia.org/wiki/Ronald_dela_Rosa",7
"SHERWIN GATCHALIAN","WINSTON GATCHALIAN","Brother/Brother","Siblings in the GATCHALIAN political dynasty","GATCHALIAN","GATCHALIAN","https://en.wikipedia.org/wiki/Sherwin_Gatchalian",9
"SHERWIN GATCHALIAN","WILMA GATCHALIAN","Mother/Son","Sherwin is the son of businesswoman and politician Wilma Gatchalian","GATCHALIAN","GATCHALIAN","https://en.wikipedia.org/wiki/Sherwin_Gatchalian",8
"TITO SOTTO","VIC SOTTO","Brother/Brother","Siblings in the SOTTO family, both prominent in entertainment and politics","SOTTO","SOTTO","https://en.wikipedia.org/wiki/Tito_Sotto",9
"TITO SOTTO","VAL SOTTO","Brother/Brother","Siblings in the SOTTO family, both prominent in entertainment and politics","SOTTO","SOTTO","https://en.wikipedia.org/wiki/Tito_Sotto",9
"ROBINHOOD C. PADILLA","MARIEL RODRIGUEZ","Husband/Wife","Robin Padilla is married to television host Mariel Rodriguez","PADILLA","RODRIGUEZ","https://en.wikipedia.org/wiki/Robin_Padilla",8
"RAFFY T. TULFO","BEN TULFO","Brother/Brother","Siblings in the TULFO family, known for media and public service","TULFO","TULFO","https://en.wikipedia.org/wiki/Raffy_Tulfo",9
"RAFFY T. TULFO","ERWIN TULFO","Brother/Brother","Siblings in the TULFO family, known for media and public service","TULFO","TULFO","https://en.wikipedia.org/wiki/Raffy_Tulfo",9
"RISA HONTIVEROS","RAUL HONTIVEROS","Brother/Sister","Risa is the sister of journalist and activist Raul Hontiveros","HONTIVEROS","HONTIVEROS","https://en.wikipedia.org/wiki/Risa_Hontiveros",8
