# Masterlist of Political Dynasty Names
# Format: Full Name | Dynasty | Province | Position | Year

56 1-RIDER PARTY-LIST | 1-RIDER PARTY-LIST | BOHOL | OTHER | 2025
56 1-RIDER PARTY-LIST | 1-RIDER PARTY-LIST | MISAMIS ORIENTAL | OTHER | 2025
95 1AGILA | 1AGILA | BOHOL | OTHER | 2025
95 1AGILA | 1AGILA | MISAMIS ORIENTAL | OTHER | 2025
121 1MUNTI | 1MUNTI | BOHOL | OTHER | 2025
121 1MUNTI | 1MUNTI | MISAMIS ORIENTAL | OTHER | 2025
22 1PACMAN | 1PACMAN | BOHOL | OTHER | 2025
22 1PACMAN | 1PACMAN | MISAMIS ORIENTAL | OTHER | 2025
118 1TAHANAN | 1TAHANAN | BOHOL | OTHER | 2025
118 1TAHANAN | 1TAHANAN | MISAMIS ORIENTAL | OTHER | 2025
90 4K | 4K | BOHOL | OTHER | 2025
90 4K | 4K | MISAMIS ORIENTAL | OTHER | 2025
1 4PS | 4PS | BOHOL | OTHER | 2025
1 4PS | 4PS | MISAMIS ORIENTAL | OTHER | 2025
137 A TEACHER | A TEACHER | BOHOL | OTHER | 2025
137 A TEACHER | A TEACHER | MISAMIS ORIENTAL | OTHER | 2025
103 AA-KASOSYO PARTY | AA-KASOSYO PARTY | BOHOL | OTHER | 2025
103 AA-KASOSYO PARTY | AA-KASOSYO PARTY | MISAMIS ORIENTAL | OTHER | 2025
BAMER AAD | AAD | LANAO DEL SUR | COUNCILOR | 2007
AMIN AADAM | AADAM | LANAO DEL SUR | COUNCILOR | 2004
AMIN AADAM | AADAM | LANAO DEL SUR | COUNCILOR | 2007
CAMALIA AADUL | AADUL | LANAO DEL SUR | COUNCILOR | 2025
DOC IMEE AALA | AALA | LAGUNA | COUNCILOR | 2025
JANINE AALA | AALA | LAGUNA | COUNCILOR | 2025
JOSE JOEL AALA | AALA | LAGUNA | COUNCILOR | 2016
MA. THERESA AALA | AALA | LAGUNA | COUNCILOR | 2007
MA. THERESA CECILIA AALA | AALA | LAGUNA | COUNCILOR | 2013
RAUL AALA | AALA | LAGUNA | COUNCILOR | 2004
REX JASPER AALA | AALA | DAVAO DEL NORTE | COUNCILOR | 2025
SHIRLEY BELEN AALA | AALA | DAVAO DEL NORTE | PROVINCIAL BOARD MEMBER | 2004
SHIRLEY BELEN AALA | AALA | DAVAO DEL NORTE | PROVINCIAL BOARD MEMBER | 2010
