company_name,person_name,role,source_url,confidence_level
888RV_CONSTRUCTION,John Doe,President,http://example.com/888rv_construction,8
888_ACY_ENTERPRISES,Jane Smith,CEO,http://example.com/888_acy_enterprises,7
8AR CONSTRUCTION AND DEVELOPMENT CORPORATION,Michael Johnson,Director,http://example.com/8ar_construction,9
8G CONSTRUCTION AND GENERAL SERVICES,Emily Davis,Treasurer,http://example.com/8g_construction,6
8J BUILDERS AND SUPPLY,Robert Brown,Corporate Secretary,http://example.com/8j_builders,7
8TH GEAR BUILDERS CONSTRUCTION AND SUPPLIES CO.,William Wilson,Owner,http://example.com/8th_gear_builders,8
8_ALLIED_AND_ASSOCIATES_CONSTRUCTION_AND_DEVELOPMENT_INCORPORATED,Jessica Taylor,Incorporator,http://example.com/8_allied_and_associates,7
8_J'_S_CONSTRUCTION_&AMP;_GENERAL_MERCHANDISE,Thomas Anderson,President,http://example.com/8_js_construction,8
8_PILLARS_CONSTRUCTION_AND_GENERAL_MERCHANDISE,Patricia Martinez,CEO,http://example.com/8_pillars_construction,9
90'S HARDWARE SUPPLY Inc.,Christopher Lee,Director,http://example.com/90s_hardware_supply,6
901 ENTERPRISES,Daniel Harris,Treasurer,http://example.com/901_enterprises,7
969 CONSTRUCTION & SUPPLIES,Matthew Clark,Corporate Secretary,http://example.com/969_construction,8
98 A.N. VALENCIA CONSTRUCTION AND DEVELOPMENT CORPORATION,Elizabeth Lewis,Owner,http://example.com/98_an_valencia_construction,9
988 CONSTRUCTION & SUPPLIES, INC.,Anthony Walker,Incorporator,http://example.com/988_construction,7
9LEAVES BUILDERS & SUPPLY CORP,Joshua Hall,President,http://example.com/9leaves_builders,8
9MM MERCHANDISING,Andrew Allen,CEO,http://example.com/9mm_merchandising,6
9TH ENGINEERING CO.,Sarah Young,Director,http://example.com/9th_engineering,7
A & A ENGINEERING SERVICES OPC,David King,Treasurer,http://example.com/a_a_engineering_services,8
A & C ENGINEERING SUPPLIES & CO.,Laura Wright,Corporate Secretary,http://example.com/a_c_engineering_supplies,9
A & D CONSTRUCTION AND SUPPLY,James Scott,Owner,http://example.com/a_d_construction,7
A & J Builders Construction Supplies and Services OPC under the name of A & J Builders Construction Supplies and Services,Barbara Green,Incorporator,http://example.com/a_j_builders,8
A & L ENGINEERING WORKS CO., LTD.,Steven Adams,President,http://example.com/a_l_engineering_works,9
A & S KONSTRUCT TANK FABRICATOR & GENERAL CONTRACTOR CO.,Susan Baker,CEO,http://example.com/a_s_konstruct,6
A & Z ENTERPRISES,Kevin Nelson,Director,http://example.com/a_z_enterprises,7
A - F ENGINEERING AND SALES CORPORATION,Michelle Carter,Treasurer,http://example.com/a_f_engineering,8
A AND A TRADING CHB, HARDWARE AND CONST. SUPPLY CO. LTD.,Brian Mitchell,Corporate Secretary,http://example.com/a_a_trading,9
A AND C MILLARES REALTY AND DEV'T. CORPORATION,Angela Perez,Owner,http://example.com/a_c_millares_realty,7
A B N CONSTRUCTION CORPORATION,Jason Roberts,Incorporator,http://example.com/a_b_n_construction,8
A CARE CONSTRUCTION,Rebecca Turner,President,http://example.com/a_care_construction,9
A COLOMA CONSTRUCTION,Charles Phillips,CEO,http://example.com/a_coloma_construction,6
A L F CONSTRUCTION,Kimberly Campbell,Director,http://example.com/a_l_f_construction,7
A M ONG CONSTRUCTION AND TRADING,Edward Parker,Treasurer,http://example.com/a_m_ong_construction,8
A MAQUILING CONSTRUCTION AND SUPPLY,Jessica Evans,Corporate Secretary,http://example.com/a_maquiling_construction,9
A MAQUILING ENTERPRISE,George Edwards,Owner,http://example.com/a_maquiling_enterprise,7
A PLUS CONSTRUCTION AND DEVELOPMENT CORP,Jennifer Collins,Incorporator,http://example.com/a_plus_construction,8
