🚀 Starting JV-aware SEC contractor data processing...
📁 Found 3426 SEC result files
🧵 Using 11 threads for parallel parsing...
📖 Processed: IGWT_JAV_CONSTRUCTION_DEVELOPMENT_CORPORATION.txt - Found 1 companies
📖 Processed: MANGELESE_CONSTRUCTION_CORPORATION.txt - Found 1 companies
📖 Processed: ZM_CONSTRUCTIO.txt - Found 3 companies
📖 Processed: LCTING_CONSTRUCTION_AND_DEVELOPMENT_CORPORATION.txt - Found 1 companies
📖 Processed: JELM_CONSTRUCTION_CORP.txt - Found 1 companies
📖 Processed: ARCONIC_INC.txt - Found 1 companies
📖 Processed: DAVAO_CONCRETE_PRODUCTS_CONSTRUCTION.txt - Found 1 companies
📖 Processed: DE_JESUS_CONSTRUCTION.txt - Found 3 companies
📖 Processed: DZEE_BUILDERS.txt - Found 1 companies
📖 Processed: AQUATERRA_KONSTRUKT_INC.txt - Found 1 companies
📖 Processed: NOVA_VENTUS_CONSTRUCTION_INC.txt - Found 1 companies
📖 Processed: GOLDSTAR_MARKETING.txt - Found 1 companies
📖 Processed: 128_DRAGON_CONSTRUCTION.txt - Found 1 companies
📖 Processed: INFINITUM_888_CONSTRUCTION.txt - Found 1 companies
📖 Processed: ANKOR_GAULLE_CONSTRUCTION.txt - Found 1 companies
📖 Processed: 3DIAMONDS_CONSTRUCTION_CORPORATION.txt - Found 1 companies
📖 Processed: CHAMPION_BUILDERS.txt - Found 1 companies
📖 Processed: E_L_ANOLIN_CONSTRUCTION.txt - Found 1 companies
📖 Processed: JVC_TOUGH_CORE_CONSTRUCTION_BUILDERS_CORP.txt - Found 1 companies
📖 Processed: ALPXR_CONST_BLDRS_CORP.txt - Found 1 companies
📖 Processed: LEGACY_CONSTRUCTION.txt - Found 6 companies
📖 Processed: CHARIFER_BUILDERS_INC.txt - Found 1 companies
📖 Processed: REPOLMAN_CONSTRUCTION.txt - Found 1 companies
📖 Processed: B_BERNARDO_CONSTRUCTION.txt - Found 4 companies
📖 Processed: PHILSOUTH_BUILDERS_INC.txt - Found 1 companies
📖 Processed: AR_ADLAWAN_CONSTRUCTION.txt - Found 1 companies
📖 Processed: GCI_CONSTRUCTION_AND_DEVELOPMENT_CORP.txt - Found 1 companies
📖 Processed: ARE_CONSTRUCTION_AND_SUPPLY.txt - Found 10 companies
📖 Processed: MAVERICK.txt - Found 9 companies
📖 Processed: EFREN_RAMIREZ_CONSTRUCTION_AND_GENERAL_SERVICES_CORPORATION.txt - Found 1 companies
📖 Processed: FAJR_CONSTRUCTION_PARTS.txt - Found 1 companies
📖 Processed: ECO_BUILDERS.txt - Found 1 companies
📖 Processed: CATTECORYLL_CONSTRUCTION.txt - Found 1 companies
📖 Processed: LEDA_CONSTRUCTION_INCORPORATED.txt - Found 1 companies
📖 Processed: STEVEN_CONSTRUCTION_SUPPLY.txt - Found 1 companies
📖 Processed: DOUBLE_12_CONSTRUCTION.txt - Found 1 companies
📖 Processed: AGGREGATE_SUPPLIES_INC.txt - Found 1 companies
📖 Processed: PLD_CONSTRUCTION.txt - Found 1 companies
📖 Processed: ARCA_BUILDERS.txt - Found 1 companies
📖 Processed: L_B_LEONCIO_TRADING_AND_CONSTRUCTION_CORPORATION.txt - Found 1 companies
📖 Processed: ISECURE_BUILDER_AND_CONSTRUCTION_SUPPLIES.txt - Found 10 companies
📖 Processed: CS_CONST_AND_SUPPLY_INC.txt - Found 7 companies
📖 Processed: AL_JON_CONSTRUCTION_DEVELOPMENT_INC.txt - Found 1 companies
📖 Processed: RPF_CONSTRUCTION.txt - Found 1 companies
📖 Processed: GREEN_WORLD_CONSTRUCTION.txt - Found 1 companies
📖 Processed: ISHIZAKI_CONSTRUCTION_DEVELOPMENT_CORPORATION.txt - Found 1 companies
📖 Processed: JARGON_CONSTRUCTION_&_SUPPLY.txt - Found 1 companies
📖 Processed: JT_GAMOLO_CONSTRUCTION.txt - Found 1 companies
📖 Processed: FA_ASPRER_CONSTRUCTION.txt - Found 1 companies
📖 Processed: LLABAN_CONSTRUCTION_AND_SUPPLY.txt - Found 1 companies
📖 Processed: JARGON_CONSTRUCTION__SUPPLY.txt - Found 1 companies
