Company Name,SEC Number,Date Registered,Status,Address
"IGWT-JAV CONSTRUCTION & DEVELOPMENT CORPORATION","CS201727651","August 17, 2017","Registered","GLASMATIC INDUSTRIAL INC. BUILDING ; 909 GREGORIO ARANETA AVENUE ; Santo Domingo (Matalahib); QUEZON CITY; SECOND DISTRICT; NATIONAL CAPITAL REGION (NCR); 1114"
"MANGELESE CONSTRUCTION CORPORATION","CS202010522","December 3, 2020","Registered","B24 L6 GOLDEN ACRES ; PAPAYA ; FOURTH DISTRICT; NATIONAL CAPITAL REGION (NCR); 1740"
"BALTAO CONSTRUCTIO COMPANY","P000032674","September 16, 1977","Registered","3267 ; V. MAPA STREET ; CITY OF MANILA; FIRST DISTRICT; NATIONAL CAPITAL REGION (NCR)"
"CONSTRUCTIO HOLDING INC.","CS201516801","August 20, 2015","Delinquent","1494 ; G MASANGKAY ; CITY OF MANILA; FIRST DISTRICT; NATIONAL CAPITAL REGION (NCR)"
"ELECTRICAL CONSULTANT & CONSTRUCTIO GROUP; CO.; LTD.","P000039203","July 22, 1983","Registered","839 ; P. PAREDES ST. ; CITY OF MANILA; FIRST DISTRICT; NATIONAL CAPITAL REGION (NCR)"
"LCTING CONSTRUCTION AND DEVELOPMENT CORPORATION","CS201431213","July 7, 2014","Registered","P-3 ; BUTUAN CITY (Capital); AGUSAN DEL NORTE; REGION XIII (Caraga); 8600"
"JELM CONSTRUCTION CORP.","CS201812132","July 2, 2018","Registered","DIONISIO STREET ; Canramos (Pob.); TANAUAN; LEYTE; REGION VIII (EASTERN VISAYAS); 6502"
"ARCONIC INC.","CS201119083","October 26, 2011","Registered","2nd Floor; Marius Acropoli Building; No. 140 Katipunan Avenue; ; St. Ignatius; ; QUEZON CITY; SECOND DISTRICT; NATIONAL CAPITAL REGION (NCR)"
"JA ACHACOSO CORPORATION DOING BUSINESS UNDER THE TRADENAME OF JA ACHACOSO ENTERPRISES & GENERAL SERVICES; AND JA ACHACOSO FARM","CS201708532","March 9, 2017","Registered","CALAMANSI ST.; ; ORMOC CITY; LEYTE; REGION VIII (EASTERN VISAYAS); 6541"
"DAVAO CONCRETE PRODUCTS CONSTRUCTION AND TRADING CORPORATION","CS201713329","April 20, 2017","Registered","OSMENA ST.; ; MANGILET RES.; ; Magugpo Poblacion; CITY OF TAGUM (Capital); DAVAO DEL NORTE; REGION XI (DAVAO REGION); 8100"
"ADROIT EJD CONSTRUCTION CORP.","CS201826256","December 28, 2018","Registered","0 ; Saturno Ave. ; NUEVA ECIJA; REGION III (CENTRAL LUZON); 3121"
"C.S. GARCIA CONSTRUCTION CORPORATION","CS201614264","July 4, 2016","Registered","23 PELAYO ; BF HOMES ; QUEZON CITY; SECOND DISTRICT; NATIONAL CAPITAL REGION (NCR)"
"CD Garcia Construction Corporation","2024040144131-00","April 2, 2024","Registered","85 ; Borol 2nd; BALAGTAS (BIGAA); BULACAN; REGION III (CENTRAL LUZON); 3016"
"ARMRHO DE JESUS CONSTRUCTION CORPORATION","2024030140119-00","March 6, 2024","Registered","25 ; STO. DOMINGO AVENUE ; Santo Domingo (Matalahib); QUEZON CITY; SECOND DISTRICT; NATIONAL CAPITAL REGION (NCR); 1114"
"RR De Jesus CONSTRUCTION OPC","2022030045556-07","March 11, 2022","Registered","LOT 27-28 ; ST. CATHERINE COMPOUND ; Tabun; ANGELES CITY; PAMPANGA; REGION III (CENTRAL LUZON); 2009"
"TEODORO M. DE JESUS CONSTRUCTION INC.","CS200704287","March 19, 2007","Suspended","644 ; FARM ST.; ; JONES; ISABELA; REGION II (CAGAYAN VALLEY)"
"DZEE BUILDERS CORPORATION","2021090026812-00","September 27, 2021","Registered","ALONG AURORA BLVD. ; Gulang-gulang; LUCENA CITY (Capital); QUEZON; REGION IV-A (CALABARZON); 4301"
"ANNCORP BUILDERS; INC.","CS20200000258","January 23, 2020","Registered","26 B ; Mariposa St. ; Dona Manuela Subd. ; Pamplona Tres; CITY OF LAS PIAS; FOURTH DISTRICT; NATIONAL CAPITAL REGION (NCR); 1740"
"AQUATERRA KONSTRUKT; INC.","AS92005694","August 28, 1992","Registered","CITY OF TABUK (Capital)"
"R.M. TEJADA CONSTRUCTION AND SUPPLIES CORP.","CS201611330","June 3, 2016","Registered","125 ; CUMBA ; BATANGAS CITY (Capital); BATANGAS; REGION IV-A (CALABARZON)"
"NOVA VENTUS CONSTRUCTION INC.","2022050051911-03","May 11, 2022","Registered","069 ; Santa Rosa I; MARILAO; BULACAN; REGION III (CENTRAL LUZON); 3019"
"GOLDSTAR MARKETING & CONSTRUCTION SERVICES; INC.","CS201428172","July 10, 2014","Registered","3/F N&M BLDG. ; LACSON ; BACOLOD CITY (Capital); NEGROS OCCIDENTAL; REGION VI (WESTERN VISAYAS)"
"128 DRAGON CONSTRUCTION AND SUPPLIES; OPC","2022050052041-01","May 12, 2022","Registered","J. LUKBAN STREET; ; Barangay V (Pob.); DISTRICT II; ; DAET (Capital); CAMARINES NORTE; REGION V (BICOL REGION); 4600"
"INFINITUM 888 CONSTRUCTION AND DEVELOPMENT CORPORATION","CS201842826","December 27, 2018","Registered","101 ; Saint Vincent ferrer ; ANGADANAN; ISABELA; REGION II (CAGAYAN VALLEY); 1320"
"AAGroup Construction & Development Corporation","2025020188273-00","February 13, 2025","Registered","71 ; JOSE ABAD SANTOS AVENUE ; Salawag; CITY OF DASMARIAS; CAVITE; REGION IV-A (CALABARZON); 4114"
"ARAGDON AND CHAVEZ CONSTRUCTION SERVICES CORPORATION","2021070021043-51","July 28, 2021","Registered","MCS BULDING ADVINCULA AVENUE ALAPAN II-A ; Ligtasan; IMUS CITY; CAVITE; REGION IV-A (CALABARZON); 2300"
"BIG JC CONSTRUCTION CORP.","2022060056899-03","June 22, 2022","Registered","1013 S.TEODORO ST. ; Tondo I/II - Barangay 196; CITY OF MANILA; FIRST DISTRICT; NATIONAL CAPITAL REGION (NCR); 1013"
"CLJR CONSTRUCTION OPC","2023080111000-01","August 4, 2023","Registered","4C ; RAYMUNDO AVENUE ; Rosario; CITY OF PASIG; SECOND DISTRICT; NATIONAL CAPITAL REGION (NCR); 1609"
"DMZ CONSTRUCTION CORPORATION","2024020134407-02","February 2, 2024","Registered","#199 ; San Jose; SANTO TOMAS; BATANGAS; REGION IV-A (CALABARZON); 4234"
"DUX CONSTRUCTION INC.","2024100171818-03","October 4, 2024","Registered","BLK 12 LOT 28 ; SAINT PETER STREET ; SAN PEDRO VII ; San Bartolome; QUEZON CITY; SECOND DISTRICT; NATIONAL CAPITAL REGION (NCR); 1116"
"E. Y. MERCADO CONSTRUCTION CORPORATION doing business under the name and style of E Y MERCADO CONSTRUCTION","2021070020609-12","July 23, 2021","Registered","BLK 1 LOT 25 ; OLIVAREZ COMPOUND 2 ; San Roque; CITY OF SAN PEDRO; LAGUNA; REGION IV-A (CALABARZON); 4023"
"JMD8 CONSTRUCTION CORPORATION","2025040199061-05","April 25, 2025","Registered","85 ; KAPILIGAN STREET ; Doa Imelda; QUEZON CITY; SECOND DISTRICT; NATIONAL CAPITAL REGION (NCR); 1113"
"MARJETECH CONSTRUCTION & TRADING OPC","2023050101306-02","May 30, 2023","Registered","ZONE 7; ; Santo Domingo; BOMBON; CAMARINES SUR; REGION V (BICOL REGION); 4404"
"MARSUN CONSTRUCTION; INCORPORATED","2022060054431-02","June 1, 2022","Registered","PAYATAS ROAD CORNER MAHOGANY STREET ; Payatas; QUEZON CITY; SECOND DISTRICT; NATIONAL CAPITAL REGION (NCR); 1119"
"Ankor Gaulle Construction and Supply Corporation","CS201970156","October 21, 2019","Registered","25 ; SAN JUAN ST. ; Centro Oriental (Pob.); POLANGUI; ALBAY; REGION V (BICOL REGION); 4501"
"3DIAMONDS CONSTRUCTION CORPORATION","CS201129082","April 8, 2011","Registered","434 ; IMPERIAL COURT SUBD.; ; LEGAZPI CITY (Capital); ALBAY; REGION V (BICOL REGION)"
"CHAMPION BUILDERS & SUPPLIES CORP.","AS93003742","May 17, 1993","Revoked","84 MAGINOO ST. CENTRAL DISTRICT; QUEZON CITY ; CITY OF MANILA; NATIONAL CAPITAL REGION (NCR)"
"ANOLIN CONSTRUCTION AND DEVELOPMENT CORP.","2021120035900-53","January 11, 2022","Registered","STA. MARIA TO TAYUG BYPASS ROAD; ; San Vicente; SANTA MARIA; PANGASINAN; REGION I (ILOCOS REGION); 2440"
"JVC TOUGH CORE CONSTRUCTION & BUILDERS CORP.","CS201638695","November 11, 2016","Registered","Tough Trucks Compound ; Magsaysay Avenue ; BACOLOD CITY (Capital); NEGROS OCCIDENTAL; REGION VI (WESTERN VISAYAS); 6100"
"CPR CONSTRUCTION AND SUPPLY; INC.","CS201639361","August 30, 2016","Registered","_ ; MANZANILLA ST.; ; POLANGUI; ALBAY; REGION V (BICOL REGION)"
"ALMRIN BUILDERS CORPORATION","2021070021134-00","July 29, 2021","Registered","Panacan 2; NARRA; PALAWAN; REGION IV-B (MIMAROPA); 5303"
"LEGACY CONSTRUCTION CORPORATION","CS201615002","July 13, 2016","Registered","ROOM 1001 10TH FLOOR ; TEKTITE TOWER WEST ; EXCHANGE ROAD ; San Antonio; CITY OF PASIG; SECOND DISTRICT; NATIONAL CAPITAL REGION (NCR)"
"CEFERINO'S LEGACY CONSTRUCTION INC.","CS202067121","October 12, 2020","Delinquent","BLOCK 6; LOT 1 ; LAS VILLAS ; SOUTH COTABATO; REGION XII (SOCCSKSARGEN); 9500"
"GOLDEN LEGACY CONSTRUCTION AND LUMBER SUPPLY CORPORATION","CS201531893","April 1, 2015","Delinquent",". ; PUROK 3 ; TUBOD; LANAO DEL NORTE; REGION X (NORTHERN MINDANAO)"
"Lopez Legacy Construction Opc","2025090219013-05","September 16, 2025","Registered","6 ; NEGROS OCCIDENTAL ; PHILAMLIFE ; Pamplona Dos; FOURTH ; CITY OF LAS PIAS; FOURTH DISTRICT; NATIONAL CAPITAL REGION (NCR); 1740"
"RB LEGACY CONSTRUCTION CORPORATION","2021120035901-00","December 15, 2021","Registered","BLK 10 LOT 28 ; LEAFBIRD CORNER SANTOL STREET ; ROSEWOOD SUBDIVISION ; Niog II; BACOOR CITY; CAVITE; REGION IV-A (CALABARZON); 1702"
"Supreme Legacy Construction Inc.","2023080113047-01","August 18, 2023","Registered","NEW MEXICO BUSINESS PARK ; San Jose Malino; MEXICO; PAMPANGA; REGION III (CENTRAL LUZON); 2021"
"PRIME HARDWARE PRODUCTS DEPOT INC.","CS201619379","August 24, 2016","Delinquent","349 ; MCARTHUR HWY. ; CITY OF VALENZUELA; THIRD DISTRICT; NATIONAL CAPITAL REGION (NCR)"
"DANSONS PRIME HARDWARE INC.","2024070159991-03","July 17, 2024","Registered","LOT 10 ; BUILDING 1 ; DANSONS BLDG ; LUISA ST. ; JUNA SUBDIVISION ; Bucana; TALOMO ; DAVAO CITY; DAVAO DEL SUR; REGION XI (DAVAO REGION); 8000"
"Era Prime Hardware; Inc.","2025050203391-01","May 30, 2025","Registered","LOT 25 BLOCK 6 ; VICTORIA PLAINS SUBD. ; Masapang; VICTORIA; LAGUNA; REGION IV-A (CALABARZON); 4011"
"GRAND PRIME HARDWARE SUPPLY INCORPORATED","CS201733334","October 2, 2017","Registered","1453 ; E.ROD.SR.AVE. ; QUEZON CITY; SECOND DISTRICT; NATIONAL CAPITAL REGION (NCR)"
"M PRIME HARDWARE AND TRADING INC.","2024020138408-10","February 27, 2024","Registered","0158 ; San Francisco; BULACAN; BULACAN; REGION III (CENTRAL LUZON); 3017"
"Mactan Prime Hardware Corporation","CS202061869","November 3, 2020","Registered","PUSO CENTER ; MACTAN AIRPORT ROAD ; Mactan; LAPU-LAPU CITY (OPON); CEBU; REGION VII (CENTRAL VISAYAS); 6015"
"MIGHTY E PRIME HARDWARE CO.","PG201919564","December 4, 2019","Registered","118 ; Gloria Diaz St.; BF Resort Village; ; FOURTH DISTRICT; NATIONAL CAPITAL REGION (NCR); 1747"
"NCL Prime Hardware Corporation","2025090217880-03","September 9, 2025","Registered","BLOCK 1 LOT 10 ; COMMONWEALTH AVENUE ; DON ENRIQUE HEIGHTS ; Holy Spirit; QUEZON CITY; SECOND DISTRICT; NATIONAL CAPITAL REGION (NCR); 1127"
"CHARIFER BUILDERS; INC.","CS200726445","February 15, 2007","Registered","Purok 6 Lower Mahayahay Diversion Road ; Langub; Talomo District ; DAVAO CITY; DAVAO DEL SUR; REGION XI (DAVAO REGION); 8000"
"TARLAC 3-G CONSTRUCTION & DEVELOPMENT CORPORATION","CS201110712","June 22, 2011","Registered","089 ; SAN VICENTE ; CONCEPCION; TARLAC; REGION III (CENTRAL LUZON)"
"REPOLMAN CONSTRUCTION CORP.","CS201904956","March 26, 2019","Registered","BLK 5 LOT 82 ; STA. MONICA SUBD. ; Santo Tomas; SUBIC; ZAMBALES; REGION III (CENTRAL LUZON); 2209"
"AM BERNARDO CONSTRUCTION FINISHING SERVICES CORP.","2023050100331-15","May 23, 2023","Registered","6 SULUCAN ST. ; Hulong Duhat; CITY OF MALABON; THIRD DISTRICT; NATIONAL CAPITAL REGION (NCR); 1470"
"B. BERNARDO CONSTRUCTION-EARTHWORK MOVERS JOINT VENTURE CO.","PG201605330","March 14, 2016","Registered","NATIONAL RD ; BULACAN; REGION III (CENTRAL LUZON)"
