Contractor Name,Status,Companies Found,File Path
"IGWT_JAV_CONSTRUCTION_DEVELOPMENT_CORPORATION","success",1,"sec_results/IGWT_JAV_CONSTRUCTION_DEVELOPMENT_CORPORATION.txt"
"QUATRO_AMIGOS_BUILDERS_&_SUPPLY","no_results",0,"sec_results/QUATRO_AMIGOS_BUILDERS_&_SUPPLY.txt"
"MANGELESE_CONSTRUCTION_CORPORATION","success",1,"sec_results/MANGELESE_CONSTRUCTION_CORPORATION.txt"
"G-RHINO_CONSTRUCTION_&_SUPPLY","no_results",0,"sec_results/G-RHINO_CONSTRUCTION_&_SUPPLY.txt"
"JAEJR_ELECTRICAL_CONSTRUCTION_SUPPLY","no_results",0,"sec_results/JAEJR_ELECTRICAL_CONSTRUCTION_SUPPLY.txt"
"ZM_CONSTRUCTIO","success",3,"sec_results/ZM_CONSTRUCTIO.txt"
"JASA_BUILDER_S","no_results",0,"sec_results/JASA_BUILDER_S.txt"
"B.G_GIRON_CONSTRUCTION_AND_SUPPLY","no_results",0,"sec_results/B.G_GIRON_CONSTRUCTION_AND_SUPPLY.txt"
"AJD_CONSTRUCTION_AND_SUPPLY","no_results",0,"sec_results/AJD_CONSTRUCTION_AND_SUPPLY.txt"
"GMJ_LUMBER_&_HARDWARE","no_results",0,"sec_results/GMJ_LUMBER_&_HARDWARE.txt"
"LCTING_CONSTRUCTION_AND_DEVELOPMENT_CORPORATION","success",1,"sec_results/LCTING_CONSTRUCTION_AND_DEVELOPMENT_CORPORATION.txt"
"YFL_BUILDERS","no_results",0,"sec_results/YFL_BUILDERS.txt"
"ALMEDGARCIA_CONSTRUCTION_AND_TRADING","no_results",0,"sec_results/ALMEDGARCIA_CONSTRUCTION_AND_TRADING.txt"
"FAER_CIVIL_ENGINEERING_SERVICES","no_results",0,"sec_results/FAER_CIVIL_ENGINEERING_SERVICES.txt"
"480_BUILDERS","no_results",0,"sec_results/480_BUILDERS.txt"
"A.D._CONSTRUCTION","no_results",0,"sec_results/A.D._CONSTRUCTION.txt"
"JELM_CONSTRUCTION_CORP","success",1,"sec_results/JELM_CONSTRUCTION_CORP.txt"
"ARCONIC_INC","success",1,"sec_results/ARCONIC_INC.txt"
"BEAM_TEAM_DEVELOPER_SPECIALIST_Â INC._-","no_results",0,"sec_results/BEAM_TEAM_DEVELOPER_SPECIALIST_Â INC._-.txt"
"MUAÃ‘A_CONSTRUCTION_AND_DEVELOPMENT_CORP","no_results",0,"sec_results/MUAÃ‘A_CONSTRUCTION_AND_DEVELOPMENT_CORP.txt"
"JA_ACHACOSO_ENTERPRISES_&_GENERAL_SERVICES","success",1,"sec_results/JA_ACHACOSO_ENTERPRISES_&_GENERAL_SERVICES.txt"
"LEBERN_BUILDERS_TRADING_AND_GENERAL_SERVICES","no_results",0,"sec_results/LEBERN_BUILDERS_TRADING_AND_GENERAL_SERVICES.txt"
"DAVAO_CONCRETE_PRODUCTS_CONSTRUCTION","success",1,"sec_results/DAVAO_CONCRETE_PRODUCTS_CONSTRUCTION.txt"
"LIMAR_CONSTRUCTION","no_results",0,"sec_results/LIMAR_CONSTRUCTION.txt"
"ADROIT_EJD_CONSTRUCTION_CORP.","success",1,"sec_results/ADROIT_EJD_CONSTRUCTION_CORP..txt"
