precinct_code,location,voting_center,scope,contest_name,candidate_name,votes,percentage
87010013,"BARMM, MAGUINDANAO DEL NORTE, BARIRA, GADUNG",BRGY. GADUNG,national,SENATOR of PHILIPPINES,"1. ABALOS, BENHUR (PFP)",437,5.43
87010013,"BARMM, MAGUINDANAO DEL NORTE, BARIRA, GADUNG",BRGY. GADUNG,national,SENATOR of PHILIPPINES,"2. ADONIS, JEROME (MKBYN)",0,0.0
87010013,"BARMM, MAGUINDANAO DEL NORTE, BARIRA, GADUNG",BRGY. GADUNG,national,SENATOR of PHILIPPINES,"3. AMAD, WILSON (IND)",2,0.02
87010013,"BARMM, MAGUINDANAO DEL NORTE, BARIRA, GADUNG",BRGY. GADUNG,national,SENATOR of PHILIPPINES,"4. ANDAMO, NARS ALYN (MKBYN)",0,0.0
87010013,"BARMM, MAGUINDANAO DEL NORTE, BARIRA, GADUNG",BRGY. GADUNG,national,SENATOR of PHILIPPINES,"5. AQUINO, BAM (KNP)",11,0.14
87010013,"BARMM, MAGUINDANAO DEL NORTE, BARIRA, GADUNG",BRGY. GADUNG,national,SENATOR of PHILIPPINES,"6. ARAMBULO, RONNEL (MKBYN)",0,0.0
87010013,"BARMM, MAGUINDANAO DEL NORTE, BARIRA, GADUNG",BRGY. GADUNG,national,SENATOR of PHILIPPINES,"7. ARELLANO, ERNESTO (KTPNAN)",0,0.0
87010013,"BARMM, MAGUINDANAO DEL NORTE, BARIRA, GADUNG",BRGY. GADUNG,national,SENATOR of PHILIPPINES,"8. BALLON, ROBERTO (IND)",0,0.0
87010013,"BARMM, MAGUINDANAO DEL NORTE, BARIRA, GADUNG",BRGY. GADUNG,national,SENATOR of PHILIPPINES,"9. BINAY, ABBY (NPC)",4,0.05
87010013,"BARMM, MAGUINDANAO DEL NORTE, BARIRA, GADUNG",BRGY. GADUNG,national,SENATOR of PHILIPPINES,"10. BONDOC, JIMMY (PDPLBN)",354,4.4
87010013,"BARMM, MAGUINDANAO DEL NORTE, BARIRA, GADUNG",BRGY. GADUNG,national,SENATOR of PHILIPPINES,"11. BONG REVILLA,RAMON, JR.(LAKAS)",429,5.33
87010013,"BARMM, MAGUINDANAO DEL NORTE, BARIRA, GADUNG",BRGY. GADUNG,national,SENATOR of PHILIPPINES,"12. BOSITA, COLONEL (IND)",0,0.0
87010013,"BARMM, MAGUINDANAO DEL NORTE, BARIRA, GADUNG",BRGY. GADUNG,national,SENATOR of PHILIPPINES,"13. BROSAS, ARLENE (MKBYN)",1,0.01
87010013,"BARMM, MAGUINDANAO DEL NORTE, BARIRA, GADUNG",BRGY. GADUNG,national,SENATOR of PHILIPPINES,"14. CABONEGRO, ROY (DPP)",0,0.0
87010013,"BARMM, MAGUINDANAO DEL NORTE, BARIRA, GADUNG",BRGY. GADUNG,national,SENATOR of PHILIPPINES,"15. CAPUYAN, ALLEN (PPP)",0,0.0
87010013,"BARMM, MAGUINDANAO DEL NORTE, BARIRA, GADUNG",BRGY. GADUNG,national,SENATOR of PHILIPPINES,"16. CASIÑO, TEDDY (MKBYN)",0,0.0
87010013,"BARMM, MAGUINDANAO DEL NORTE, BARIRA, GADUNG",BRGY. GADUNG,national,SENATOR of PHILIPPINES,"17. CASTRO, TEACHER FRANCE (MKBYN)",0,0.0
87010013,"BARMM, MAGUINDANAO DEL NORTE, BARIRA, GADUNG",BRGY. GADUNG,national,SENATOR of PHILIPPINES,"18. CAYETANO, PIA (NP)",423,5.26
87010013,"BARMM, MAGUINDANAO DEL NORTE, BARIRA, GADUNG",BRGY. GADUNG,national,SENATOR of PHILIPPINES,"19. D'ANGELO, DAVID (BUNYOG)",0,0.0
87010013,"BARMM, MAGUINDANAO DEL NORTE, BARIRA, GADUNG",BRGY. GADUNG,national,SENATOR of PHILIPPINES,"20. DE ALBAN,ATTORNEY ANGELO (IND)",3,0.04
87010013,"BARMM, MAGUINDANAO DEL NORTE, BARIRA, GADUNG",BRGY. GADUNG,national,SENATOR of PHILIPPINES,"21. DE GUZMAN, KA LEODY (PLM)",0,0.0
87010013,"BARMM, MAGUINDANAO DEL NORTE, BARIRA, GADUNG",BRGY. GADUNG,national,SENATOR of PHILIPPINES,"22. DELA ROSA, BATO (PDPLBN)",800,9.94
87010013,"BARMM, MAGUINDANAO DEL NORTE, BARIRA, GADUNG",BRGY. GADUNG,national,SENATOR of PHILIPPINES,"23. DORINGO, NANAY MIMI (MKBYN)",5,0.06
87010013,"BARMM, MAGUINDANAO DEL NORTE, BARIRA, GADUNG",BRGY. GADUNG,national,SENATOR of PHILIPPINES,"24. ESCOBAL, ARNEL (PM)",1,0.01
87010013,"BARMM, MAGUINDANAO DEL NORTE, BARIRA, GADUNG",BRGY. GADUNG,national,SENATOR of PHILIPPINES,"25. ESPIRITU, LUKE (PLM)",0,0.0
87010013,"BARMM, MAGUINDANAO DEL NORTE, BARIRA, GADUNG",BRGY. GADUNG,national,SENATOR of PHILIPPINES,"26. FLORANDA, MODY PISTON (MKBYN)",1,0.01
87010013,"BARMM, MAGUINDANAO DEL NORTE, BARIRA, GADUNG",BRGY. GADUNG,national,SENATOR of PHILIPPINES,"27. GAMBOA, MARC LOUIE (IND)",0,0.0
87010013,"BARMM, MAGUINDANAO DEL NORTE, BARIRA, GADUNG",BRGY. GADUNG,national,SENATOR of PHILIPPINES,"28. GO, BONG GO    (PDPLBN)",783,9.73
87010013,"BARMM, MAGUINDANAO DEL NORTE, BARIRA, GADUNG",BRGY. GADUNG,national,SENATOR of PHILIPPINES,"29. GONZALES, NORBERTO (PDSP)",4,0.05
87010013,"BARMM, MAGUINDANAO DEL NORTE, BARIRA, GADUNG",BRGY. GADUNG,national,SENATOR of PHILIPPINES,"30. HINLO, JAYVEE (PDPLBN)",229,2.85
87010013,"BARMM, MAGUINDANAO DEL NORTE, BARIRA, GADUNG",BRGY. GADUNG,national,SENATOR of PHILIPPINES,"31. HONASAN, GRINGO (RP)",3,0.04
87010013,"BARMM, MAGUINDANAO DEL NORTE, BARIRA, GADUNG",BRGY. GADUNG,national,SENATOR of PHILIPPINES,"32. JOSE, RELLY JR. (KBL)",4,0.05
87010013,"BARMM, MAGUINDANAO DEL NORTE, BARIRA, GADUNG",BRGY. GADUNG,national,SENATOR of PHILIPPINES,"33. LACSON, PING (IND)",411,5.11
87010013,"BARMM, MAGUINDANAO DEL NORTE, BARIRA, GADUNG",BRGY. GADUNG,national,SENATOR of PHILIPPINES,"34. LAMBINO,  RAUL  (PDPLBN)",222,2.76
87010013,"BARMM, MAGUINDANAO DEL NORTE, BARIRA, GADUNG",BRGY. GADUNG,national,SENATOR of PHILIPPINES,"35. LAPID, LITO (NPC)",2,0.02
87010013,"BARMM, MAGUINDANAO DEL NORTE, BARIRA, GADUNG",BRGY. GADUNG,national,SENATOR of PHILIPPINES,"36. LEE, MANOY WILBERT (AKSYON)",0,0.0
87010013,"BARMM, MAGUINDANAO DEL NORTE, BARIRA, GADUNG",BRGY. GADUNG,national,SENATOR of PHILIPPINES,"37. LIDASAN, AMIRAH (MKBYN)",3,0.04
87010013,"BARMM, MAGUINDANAO DEL NORTE, BARIRA, GADUNG",BRGY. GADUNG,national,SENATOR of PHILIPPINES,"38. MARCOLETA, RODANTE (IND)",661,8.21
87010013,"BARMM, MAGUINDANAO DEL NORTE, BARIRA, GADUNG",BRGY. GADUNG,national,SENATOR of PHILIPPINES,"39. MARCOS, IMEE R. (NP)",533,6.62
87010013,"BARMM, MAGUINDANAO DEL NORTE, BARIRA, GADUNG",BRGY. GADUNG,national,SENATOR of PHILIPPINES,"40. MARQUEZ, NORMAN (IND)",2,0.02
87010013,"BARMM, MAGUINDANAO DEL NORTE, BARIRA, GADUNG",BRGY. GADUNG,national,SENATOR of PHILIPPINES,"41. MARTINEZ, ERIC (IND)",1,0.01
87010013,"BARMM, MAGUINDANAO DEL NORTE, BARIRA, GADUNG",BRGY. GADUNG,national,SENATOR of PHILIPPINES,"42. MATA, DOC MARITES (IND)",202,2.51
87010013,"BARMM, MAGUINDANAO DEL NORTE, BARIRA, GADUNG",BRGY. GADUNG,national,SENATOR of PHILIPPINES,"43. MATULA,  ATTY.  SONNY (WPP)",1,0.01
